1;-4.12, 0.93, -2.49
2;-14.6754, -12.0775, -19.8327
3;-111.564124, -19.366535, -98.695169
4;-568.5842951, -257.58974047, -617.16133083
5;-3510.8048875432, -1070.6643632695, -3437.2203615005
6;-19672.2284366859, -7403.19603934368, -20268.641042461
7;-115646.721319467, -39343.1782235733, -116150.978651764
8;-663730.951987755, -237652.622835442, -675139.79932226
9;-3855071.02160921, -1345900.02657835, -3896597.06466742
10;-22258120.5553119, -7869702.61661103, -22568903.2190985
11;-128893639.806511, -45286866.7764529, -130488220.828958
12;-745303490.468037, -262684901.561001, -755114497.007644
13;-4312750302.7378, -1517673873.69468, -4367819108.43783
14;-24946882554.1178, -8785737536.42767, -25270333434.5493
15;-144330315936.653, -50810237513.6532, -146187493761.054
16;-834947802150.684, -293992896252.871, -845732315884.42
17;-4830374216819.72, -1700656149993.56, -4892647682634.7
18;-27944247549899.1, -9838954904693.92, -28304845217239.4
19;-161662373083631, -56918720621507.8, -163747517284945
20;-935239937728716, -329286852672973, -947305609745256
lambda;5.78515304542514
